date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-09-25T12:55:00.000000,12225.65,12235.0,12223.2,12235.0,35,ULTRACEMCO,12206.535465170817,12199.042924170306,47.33456957189233,12232.5,21.72281935279326,
2025-09-25T13:00:00.000000,12235.0,12235.0,12235.0,12235.0,0,ULTRACEMCO,12212.228372136653,12202.311749245733,47.30372567704548,12232.5,22.3602173160703,
2025-09-25T13:05:00.000000,12235.0,12245.0,12235.0,12245.0,4,ULTRACEMCO,12218.782697709323,12206.192499314302,47.70353148409622,12232.5,23.358855021850534,
2025-09-25T13:10:00.000000,12245.0,12245.0,12226.5,12226.5,9,ULTRACEMCO,12220.326158167458,12208.038635740275,48.14213693355147,12232.5,23.60533919849561,
2025-09-25T13:15:00.000000,12226.5,12226.5,12211.75,12226.0,3,ULTRACEMCO,12221.460926533966,12209.671487036614,49.01548400239418,12232.5,22.787593600929863,
2025-09-25T13:20:00.000000,12226.0,12226.0,12213.95,12226.0,10,ULTRACEMCO,12222.368741227172,12211.155897306013,49.932516793762595,12232.5,22.028258403190243,
2025-09-25T13:25:00.000000,12226.0,12226.0,12215.2,12215.2,9,ULTRACEMCO,12220.934992981738,12211.523543005465,50.619654137073795,12232.5,21.323161433860594,
2025-09-25T13:30:00.000000,12215.2,12215.2,12194.75,12194.75,25,ULTRACEMCO,12215.697994385391,12209.998675459514,50.995338111965886,12232.5,20.26742088962669,
2025-09-25T13:35:00.000000,12194.75,12194.75,12186.15,12186.15,10,ULTRACEMCO,12209.788395508313,12207.830614054103,51.24688020623849,12232.5,19.755762454475796,
2025-09-25T13:40:00.000000,12186.15,12186.15,12186.15,12186.15,0,ULTRACEMCO,12205.06071640665,12205.859649140093,51.31307560214731,12232.5,19.280651050407112,
2025-09-25T13:45:00.000000,12186.15,12195.95,12186.15,12195.95,2,ULTRACEMCO,12203.23857312532,12204.95877194554,51.503544254835525,12232.5,18.153519023763394,
2025-09-25T13:50:00.000000,12195.95,12197.3,12180.05,12186.35,72,ULTRACEMCO,12199.860858500257,12203.267065405036,51.43321075176552,12232.5,17.478080982929132,
